2015-05-18 19:47:00 status unpacked libosso-dbus-conf 2.16.debian.1-1
2015-05-18 19:47:00 status unpacked libosso-dbus-conf 2.16.debian.1-1
2015-05-18 19:47:00 install libosso1 <none> 2.16.debian.1-1
2015-05-18 19:47:00 status half-installed libosso1 2.16.debian.1-1
2015-05-18 19:47:01 status unpacked libosso1 2.16.debian.1-1
2015-05-18 19:47:01 status unpacked libosso1 2.16.debian.1-1
2015-05-18 19:47:01 install libhildonhelp0 <none> 2.0.5.debian.5-1+b1
2015-05-18 19:47:01 status half-installed libhildonhelp0 2.0.5.debian.5-1+b1
2015-05-18 19:47:01 status unpacked libhildonhelp0 2.0.5.debian.5-1+b1
2015-05-18 19:47:01 status unpacked libhildonhelp0 2.0.5.debian.5-1+b1
2015-05-18 19:47:01 install maemo-af-desktop-l10n-engb <none> 3.0.r4480.debian-2
2015-05-18 19:47:01 status half-installed maemo-af-desktop-l10n-engb 3.0.r4480.debian-2
2015-05-18 19:47:01 status unpacked maemo-af-desktop-l10n-engb 3.0.r4480.debian-2
2015-05-18 19:47:02 status unpacked maemo-af-desktop-l10n-engb 3.0.r4480.debian-2
2015-05-18 19:47:02 install hildon-icons <none> 2.1.debian-3
2015-05-18 19:47:02 status half-installed hildon-icons 2.1.debian-3
2015-05-18 19:47:09 status unpacked hildon-icons 2.1.debian-3
2015-05-18 19:47:09 status unpacked hildon-icons 2.1.debian-3
2015-05-18 19:47:09 install hildon-theme-plankton <none> 4.14.5.debian.1-1
2015-05-18 19:47:09 status half-installed hildon-theme-plankton 4.14.5.debian.1-1
2015-05-18 19:47:14 status unpacked hildon-theme-plankton 4.14.5.debian.1-1
2015-05-18 19:47:15 status unpacked hildon-theme-plankton 4.14.5.debian.1-1
2015-05-18 19:47:17 install hildon-desktop <none> 1:2.0.19.debian.1-3
2015-05-18 19:47:17 status half-installed hildon-desktop 1:2.0.19.debian.1-3
2015-05-18 19:47:17 status triggers-pending gnome-menus 2.30.3-1
2015-05-18 19:47:17 status half-installed hildon-desktop 1:2.0.19.debian.1-3
2015-05-18 19:47:17 status triggers-pending desktop-file-utils 0.15-2
2015-05-18 19:47:17 status half-installed hildon-desktop 1:2.0.19.debian.1-3
2015-05-18 19:47:19 status unpacked hildon-desktop 1:2.0.19.debian.1-3
2015-05-18 19:47:19 status unpacked hildon-desktop 1:2.0.19.debian.1-3
2015-05-18 19:47:20 trigproc gnome-menus 2.30.3-1 3.2.0.1-2
2015-05-18 19:47:20 status half-configured gnome-menus 2.30.3-1
2015-05-18 19:47:21 status installed gnome-menus 2.30.3-1
2015-05-18 19:47:21 trigproc desktop-file-utils 0.15-2 0.15-2
2015-05-18 19:47:21 status half-configured desktop-file-utils 0.15-2
2015-05-18 19:47:22 status installed desktop-file-utils 0.15-2
2015-05-18 19:47:24 startup packages configure
2015-05-18 19:47:24 configure gtk2-engines-sapwood 3.1.1.debian.10+0m5-1 3.1.1.debian.10+0m5-1
2015-05-18 19:47:24 status unpacked gtk2-engines-sapwood 3.1.1.debian.10+0m5-1
2015-05-18 19:47:24 status unpacked gtk2-engines-sapwood 3.1.1.debian.10+0m5-1
